"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Canada,276.037,307.242,314.635,341.858,356.723,366.185,379.001,433.13,509.369,567.206,596.076,612.508,594.364,579.056,579.919,605.923,630.601,654.981,634.014,678.396,744.766,738.999,760.64,895.569,1026.674,1173.143,1319.306,1468.823,1552.933,1374.624,1617.266,1792.833,1828.686,1847.207,1803.529,1556.127,1530.273,1650.187,1711.387,1739.11,1832.491,1925.551,2027.395,2133.717,2242.038
Central African Republic,0.714,0.743,0.719,0.69,0.67,0.883,1.158,1.275,1.372,1.354,1.572,1.498,1.494,1.309,0.858,1.117,1,0.979,1.036,1.039,0.885,0.897,0.963,1.11,1.257,1.337,1.461,1.698,1.985,1.982,1.986,2.196,2.171,1.519,1.706,1.585,1.756,1.937,2.185,2.285,2.485,2.691,2.917,3.154,3.461
Chad,0.738,0.873,0.844,0.844,0.907,0.983,1.211,1.372,1.604,1.515,1.826,1.809,1.886,1.648,1.335,1.636,1.819,1.748,1.975,1.739,1.572,1.936,2.257,3.102,5.003,6.681,7.45,8.687,10.438,9.312,10.702,12.181,12.411,12.994,14.003,10.952,10.095,9.892,10.919,11.372,12.547,13.636,14.89,15.854,17.047
Chile,28.829,34.133,25.45,20.673,20.104,17.238,18.531,21.856,25.765,29.679,32.998,37.981,46.27,49.505,57.114,73.599,78.024,84.907,81.562,75.094,77.815,70.971,69.729,75.643,99.224,122.996,154.864,173.569,179.488,172.52,218.308,252.096,267.021,278.345,260.479,243.908,250.265,277.668,298.172,295.614,313.561,329.797,346.539,364.091,383.171
"China, People's Republic of",305.348,290.827,286.719,307.677,316.628,312.616,303.34,330.303,411.923,461.066,398.623,415.604,495.671,623.054,566.471,736.87,867.224,965.338,1032.573,1097.138,1214.915,1344.077,1477.501,1671.065,1966.244,2308.8,2774.293,3571.451,4604.285,5121.681,6066.351,7522.103,8570.348,9635.025,10534.526,11226.186,11221.836,12062.281,13407.398,14216.503,15468.095,16806.501,18206.847,19713.516,21309.503
Colombia,46.342,50.488,54.067,53.736,53.075,48.415,48.481,50.467,54.406,54.86,55.879,57.756,68.345,77.456,97.332,110.186,115.734,127.055,117.323,102.78,98.931,97.272,97.02,93.75,115.986,145.162,161.364,205.755,242.028,232.565,286.039,334.476,370.345,381.844,381.241,293.493,282.72,311.796,333.114,336.599,352.81,372.692,393.542,415.969,439.251
Comoros,0.152,0.133,0.126,0.122,0.118,0.12,0.162,0.196,0.207,0.199,0.25,0.26,0.281,0.278,0.186,0.232,0.231,0.212,0.216,0.223,0.202,0.22,0.252,0.325,0.363,0.388,0.404,0.466,0.533,0.537,0.544,0.611,0.596,0.658,0.686,0.582,0.612,0.649,0.742,0.726,0.773,0.821,0.872,0.925,0.984
"Congo, Dem. Rep. of the",68.606,59.726,64.939,52.378,34.951,31.943,35.84,33.932,39.314,40.006,41.448,40.25,36.333,47.45,25.746,25.021,32.099,28.819,21.089,19.147,19.077,8.173,8.719,8.954,10.341,11.951,14.296,16.364,19.129,18.315,20.641,24.575,27.566,32.676,35.918,38.402,39.324,41.447,42.644,48.458,52.475,55.036,57.634,60.255,63.294
"Congo, Republic of ",2.083,1.708,1.489,1.354,1.245,1.276,1.746,2.121,2.257,2.384,2.799,2.725,2.933,2.684,1.769,2.116,2.54,2.323,1.949,2.357,3.22,2.794,3.02,3.502,4.653,6.097,7.738,7.446,10.224,9.363,12.304,14.811,13.664,14.026,14.099,8.554,7.787,8.992,11.188,11.162,11.367,11.486,11.245,11.303,11.666
Costa Rica,4.836,2.626,2.609,3.15,3.664,3.926,4.408,4.537,4.618,5.23,5.716,7.238,8.578,9.586,10.473,11.545,11.64,12.568,13.634,14.211,14.965,15.93,16.525,17.22,18.562,19.994,22.659,26.856,30.844,30.826,37.634,42.717,46.984,50.326,51.181,55.41,57.828,58.654,59.006,60.459,63.46,66.627,70.167,73.993,78.275
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.247,12.968,17.349,22.388,23.601,23.974,25.346,23.374,21.774,23.29,26.868,34.668,41.523,45.347,50.387,60.11,70.465,62.712,59.866,62.399,56.549,58.158,57.683,49.519,51.623,55.201,60.688,61.252,64.59,67.7,70.937,74.145,77.197
Cyprus,2.314,2.242,2.319,2.321,2.447,2.611,3.317,3.979,4.589,4.901,6.003,6.195,7.424,7.098,8.004,9.937,10.016,9.544,10.251,10.502,9.988,10.397,11.422,14.552,17.328,18.713,20.422,24.082,27.972,26.008,25.608,27.454,25.055,24.094,23.401,19.691,20.461,22.186,24.492,24.638,26.348,27.955,29.684,31.403,33.22
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,59.768,66.986,61.783,66.465,64.867,61.645,67.524,81.899,99.662,119.162,136.281,155.464,189.032,236.031,206.303,207.478,227.948,207.376,209.402,207.818,186.83,195.09,215.914,242.052,246.161,259.736,272.48,286.068,299.653,314.658
Côte d'Ivoire,10.04,8.321,7.466,6.737,6.717,6.851,9.17,10.088,10.195,9.757,10.796,10.493,11.153,11.046,8.313,11,12.139,11.722,12.612,12.377,10.717,11.193,12.347,15.307,16.554,17.085,17.801,20.344,24.225,24.277,24.885,25.67,26.791,31.264,35.316,33.131,35.297,38.13,43.032,45.252,49.882,54.527,59.517,64.388,69.661
