"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Sub-Saharan Africa (Region) ,303.92,317.919,320.452,293.896,232.5,211.289,240.928,266.136,284.01,298.162,387.826,392.837,389.504,391.095,381.596,468.408,525.867,548.747,552.705,399.82,407.561,393.181,425.024,530.871,655.74,777.428,905.67,1053.119,1210.997,1153.267,1369.743,1567.281,1631.824,1722.186,1806.157,1624.997,1507.746,1602.839,1683.947,1760.145,1894.709,2035.498,2196.536,2366.917,2553.964
Western Europe,3839.635,3430.295,3302.261,3211.315,3084.801,3201.255,4364.187,5397.929,6031.997,6137.277,7616.855,8103.365,8808.904,8007.643,8499.811,9743.666,9926.49,9339.62,9624.349,9632.783,8957.102,9010.253,9830.877,11937.597,13732.419,14314.116,15216.776,17470.136,18766.411,16823.041,16750.621,18158.192,17167.66,17866.696,18455.151,16249.444,16309.392,17012.797,18287.644,18199.281,18978.473,19703.113,20507.121,21314.461,22197.876
Western Hemisphere (Region),4000.382,4453.698,4434.247,4683.183,5132.017,5497.848,5747.771,6127.748,6690.821,7271.231,7743.965,8043.868,8508.322,9006.883,9656.867,10185.789,10792.326,11519.933,12005.416,12386.186,13268.122,13543.344,13680.298,14373.665,15557.462,17013.542,18413.158,19788.133,20756.263,19971.275,21779.094,23342.772,24063.485,24757.026,25414.978,25148.329,25395.34,26697.202,27556.366,28508.485,29727.833,30967.009,32234.311,33550.644,34894.966
ASEAN-5,222.992,227.255,240.125,241.417,269.998,229.854,242.665,260.38,273.613,291.898,328.866,366.533,415.94,465.058,527.709,611.819,682.541,636.557,405.947,492.52,518.792,503.229,571.858,649.523,727.309,809.101,974.739,1159.927,1360.481,1338.282,1663.747,1920.11,2036.578,2102.536,2106.8,2042.705,2147.471,2319.294,2436.16,2608.004,2829.693,3045.229,3272.26,3518.418,3782.147
Advanced economies,8449.988,8583.059,8524.402,8868.641,9275.123,9766.887,11918.533,13855.037,15649.65,16326.637,18328.668,19571.28,21050.074,21200.941,22764.68,25206.548,25387.799,24909.044,25005.696,26322.852,26777.436,26500.397,27668.121,31031.434,34414.897,36226.985,38090.841,41605.36,43919.549,41453.778,43248.804,46417.013,46257.05,46662.585,47767.998,45207.2,46402.971,48352.165,51069.772,52174.602,54517.388,56814.082,59248.954,61753.314,64411.17
Commonwealth of Independent States,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,137.113,263.633,379.402,426.156,529.496,552.858,402.334,304.845,374.374,434.449,486.742,600.966,814.796,1055.509,1369.04,1798.607,2294.991,1725.989,2127.265,2648.652,2858.092,3004.603,2723.522,1894.854,1748.809,2087.295,2171.969,2173.607,2277.753,2384.386,2494.996,2618.737,2760.054
Emerging and Developing Asia,758.631,754.769,769.011,812.382,847.945,831.971,850.845,930.083,1044.977,1117.021,1119.96,1127.943,1277.207,1447.813,1510.014,1805.944,2045.331,2124.835,1970.555,2165.29,2323.964,2451.082,2688.183,3070.101,3559.914,4111.762,4878.287,6178.893,7443.672,8090.698,9751.166,11626.982,12819.844,14007.616,15130.073,15838.041,16156.44,17577.644,19145.98,20407.686,22219.457,24149.394,26184.982,28386.798,30741.663
Emerging and Developing Europe,249.452,259.906,264.22,262.048,251.579,262.164,279.126,298.096,330.942,347.099,364.571,355.835,389.828,427.109,387.393,497.436,534.046,569.111,607.238,570.724,589.249,552.034,629.253,775.591,961.362,1153.768,1286.371,1609.601,1899.532,1597.99,1748.949,1907.817,1877.219,2016.329,2035.741,1825.475,1845.783,1941.568,1985.436,1955.753,2153.588,2371.396,2532.514,2699.457,2880.221
Emerging market and developing economies,2697.778,2824.835,2677.376,2628.254,2626.546,2675.213,2742.738,3024.48,3338.184,3653.428,5119.436,4763.699,4120.816,4657.842,5039.493,5796.937,6472.825,6879.572,6643.942,6442.432,7066.532,7093.112,7052.305,7950.714,9462.078,11321.395,13405.555,16513.254,19833.385,18940.11,22776.462,26827.792,28382.195,30107.167,31084.336,29482.248,29331.668,31792.414,33670.55,35090.624,37792.882,40640.948,43594.522,46774.082,50166.089
Euro area,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6098.348,6725.593,6112.997,6457.311,7621.078,7739.209,6949.147,7109.6,7122.668,6494.871,6587.163,7185.574,8853.238,10147.56,10539.06,11182.348,12890.341,14188.286,12947.75,12674.763,13643.586,12658.741,13207.225,13521.197,11689.545,11982.011,12652.421,13669.167,13595.824,14203.279,14757.033,15357.173,15949.262,16600.808
European Union,3803.788,3414.132,3297.853,3210.438,3080.285,3192.114,4301.264,5281.393,5917.841,6023.358,7387.512,7859.733,8587.722,7825.87,8315.389,9615.197,9826.752,9284.647,9604.53,9594.723,8923.544,9008.375,9841.898,11966.464,13807.864,14450.86,15410.369,17820.807,19257.783,17168.338,17035.45,18388.144,17324.865,18058.889,18691.948,16451.716,16561.247,17364.681,18750.052,18705.132,19555.416,20355.545,21233.909,22121.555,23092.977
Latin America and the Caribbean,852.584,923.476,759.047,690.024,718.481,772.373,767.175,815.49,918.848,1034.158,1154.16,1240.947,1359.003,1532.355,1750.007,1897.468,2043.259,2239.216,2254.491,2019.25,2209.305,2152.851,1910.662,1944.011,2236.74,2719.859,3191.976,3777.911,4396.865,4051.34,5071.397,5906.988,5936.184,6022.544,5987.253,5269.526,5053.956,5457.396,5246.584,5321.202,5593.109,5877.181,6178.935,6498.171,6817.704
Major advanced economies (G7),6878.865,7093.288,7063.242,7452.521,7842.582,8315.05,10054.495,11553.002,12990.634,13486.381,14919.059,15978.922,17152.767,17491.142,18705.362,20398.281,20368.151,20117.568,20390.614,21487.392,22002.162,21743.08,22442.92,24771.209,27200.64,28414.414,29634.973,31832.991,33342.839,31772.706,32964.748,35032.238,35211.258,35239.906,36128.771,34717.684,35665.929,36870.696,38853.851,39840.524,41576.728,43279.114,45054.037,46878.712,48808.05
Middle East and North Africa,511.348,538.697,529.383,539.02,543.461,562.397,570.52,683.202,718.851,821.586,1052.227,734.639,509.477,535.357,570.852,630.68,722.172,775.144,787.938,912.649,1097.358,1049.174,850.195,958.44,1151.912,1416.498,1679.198,1997.836,2475.974,2200.384,2586.61,3011.46,3069.882,3142.573,3204.318,2810.596,2782.992,2853.11,3145.763,3213.65,3378.94,3524.119,3683.804,3856.182,4037.928
"Middle East, North Africa, Afghanistan, and Pakistan",542.286,575.296,569.395,576.389,584.033,602.962,612.063,726.639,768.958,873.842,1104.653,794.195,573.203,602.799,638.849,710.131,805.14,856.951,869.428,995.163,1177.063,1127.105,932.499,1052.72,1262.669,1541.145,1823.353,2158.754,2657.124,2380.325,2779.101,3242.938,3314.559,3393.961,3469.294,3101.209,3081.075,3178.297,3477.918,3511.658,3693.674,3862.777,4047.477,4246.188,4456.279
Other advanced economies,767.732,783.558,778.421,776.827,814.519,811.964,989.302,1217.588,1435.749,1561.655,1798.301,1910.729,2038.604,2011.216,2259.845,2662.209,2839.038,2751.631,2484.707,2660.99,2746.196,2662.588,2894.61,3333.139,3807.204,4195.043,4543.183,5193.879,5493.063,5047.599,5809.107,6644.343,6692.592,6912.579,7035.075,6456.46,6588.122,7064.631,7393.635,7486.821,7857.42,8233.221,8661.082,9112.499,9589.688
Sub-Saharan Africa,294.824,311.389,315.703,287.411,224.508,205.742,233.528,254.172,274.459,281.309,383.915,388.457,384.461,384.133,373.827,459.801,515.553,536.601,539.896,387.159,392.578,375.591,404.966,507.325,626.596,739.352,856.528,989.489,1141.202,1093.769,1298.584,1494.414,1576.297,1662.114,1738.452,1553.143,1445.605,1550.214,1642.663,1720.717,1855.301,1995.815,2155.619,2324.731,2510.167
World,11147.766,11407.894,11201.778,11496.895,11901.669,12442.1,14661.271,16879.517,18987.834,19980.065,23448.104,24334.979,25170.89,25858.783,27804.173,31003.485,31860.624,31788.616,31649.638,32765.284,33843.968,33593.509,34720.425,38982.148,43876.975,47548.38,51496.396,58118.615,63752.934,60393.888,66025.267,73244.805,74639.245,76769.752,78852.334,74689.448,75734.639,80144.579,84740.322,87265.226,92310.269,97455.03,102843.476,108527.396,114577.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
